,,,,,
-﻿,,"Effective federal funds rate (% p.a.), last business day of month",Wu-Xia shadow federal funds rate (last business day of month),Change,Direction of Change 
January,1994,3.05,,,
February,1994,3.25,,0.07,1
March,1994,3.34,,0.03,1
April,1994,3.56,,0.07,1
May,1994,4.01,,0.13,1
June,1994,4.25,,0.06,1
July,1994,4.26,,0,1
August,1994,4.47,,0.05,1
September,1994,4.73,,0.06,1
October,1994,4.76,,0.01,1
November,1994,5.29,,0.11,1
December,1994,5.45,,0.03,1
January,1995,5.53,,0.01,1
February,1995,5.92,,0.07,1
March,1995,5.98,,0.01,1
April,1995,6.05,,0.01,1
May,1995,6.01,,-0.01,-1
June,1995,6,,0,-1
July,1995,5.85,,-0.03,-1
August,1995,5.74,,-0.02,-1
September,1995,5.8,,0.01,1
October,1995,5.76,,-0.01,-1
November,1995,5.8,,0.01,1
December,1995,5.6,,-0.03,-1
January,1996,5.56,,-0.01,-1
February,1996,5.22,,-0.06,-1
March,1996,5.31,,0.02,1
April,1996,5.22,,-0.02,-1
May,1996,5.24,,0,1
June,1996,5.27,,0.01,1
July,1996,5.4,,0.02,1
August,1996,5.22,,-0.03,-1
September,1996,5.3,,0.02,1
October,1996,5.24,,-0.01,-1
November,1996,5.31,,0.01,1
December,1996,5.29,,0,-1
January,1997,5.25,,-0.01,-1
February,1997,5.19,,-0.01,-1
March,1997,5.39,,0.04,1
April,1997,5.51,,0.02,1
May,1997,5.5,,0,-1
June,1997,5.56,,0.01,1
July,1997,5.52,,-0.01,-1
August,1997,5.54,,0,1
September,1997,5.54,,0,0
October,1997,5.5,,-0.01,-1
November,1997,5.52,,0,1
December,1997,5.5,,0,-1
January,1998,5.56,,0.01,1
February,1998,5.51,,-0.01,-1
March,1998,5.49,,0,-1
April,1998,5.45,,-0.01,-1
May,1998,5.49,,0.01,1
June,1998,5.56,,0.01,1
July,1998,5.54,,0,-1
August,1998,5.55,,0,1
September,1998,5.51,,-0.01,-1
October,1998,5.07,,-0.08,-1
November,1998,4.83,,-0.05,-1
December,1998,4.68,,-0.03,-1
January,1999,4.63,,-0.01,-1
February,1999,4.76,,0.03,1
March,1999,4.81,,0.01,1
April,1999,4.74,,-0.01,-1
May,1999,4.74,,0,0
June,1999,4.76,,0,1
July,1999,4.99,,0.05,1
August,1999,5.07,,0.02,1
September,1999,5.22,,0.03,1
October,1999,5.2,,0,-1
November,1999,5.42,,0.04,1
December,1999,5.3,,-0.02,-1
January,2000,5.45,,0.03,1
February,2000,5.73,,0.05,1
March,2000,5.85,,0.02,1
April,2000,6.02,,0.03,1
May,2000,6.27,,0.04,1
June,2000,6.53,,0.04,1
July,2000,6.54,,0,1
August,2000,6.5,,-0.01,-1
September,2000,6.52,,0,1
October,2000,6.51,,0,-1
November,2000,6.51,,0,0
December,2000,6.4,,-0.02,-1
January,2001,5.98,,-0.07,-1
February,2001,5.49,,-0.08,-1
March,2001,5.31,,-0.03,-1
April,2001,4.8,,-0.1,-1
May,2001,4.21,,-0.12,-1
June,2001,3.97,,-0.06,-1
July,2001,3.77,,-0.05,-1
August,2001,3.65,,-0.03,-1
September,2001,3.07,,-0.16,-1
October,2001,2.49,,-0.19,-1
November,2001,2.09,,-0.16,-1
December,2001,1.82,,-0.13,-1
January,2002,1.73,,-0.05,-1
February,2002,1.74,,0.01,1
March,2002,1.73,,-0.01,-1
April,2002,1.75,,0.01,1
May,2002,1.75,,0,0
June,2002,1.75,,0,0
July,2002,1.73,,-0.01,-1
August,2002,1.74,,0.01,1
September,2002,1.75,,0.01,1
October,2002,1.75,,0,0
November,2002,1.34,,-0.23,-1
December,2002,1.24,,-0.07,-1
January,2003,1.24,,0,0
February,2003,1.26,,0.02,1
March,2003,1.25,,-0.01,-1
April,2003,1.26,,0.01,1
May,2003,1.26,,0,0
June,2003,1.22,,-0.03,-1
July,2003,1.01,,-0.17,-1
August,2003,1.03,,0.02,1
September,2003,1.01,,-0.02,-1
October,2003,1.01,,0,0
November,2003,1,,-0.01,-1
December,2003,0.98,,-0.02,-1
January,2004,1,,0.02,1
February,2004,1.01,,0.01,1
March,2004,1,,-0.01,-1
April,2004,1,,0,0
May,2004,1,,0,0
June,2004,1.03,,0.03,1
July,2004,1.26,,0.22,1
August,2004,1.43,,0.13,1
September,2004,1.61,,0.13,1
October,2004,1.76,,0.09,1
November,2004,1.93,,0.1,1
December,2004,2.16,,0.12,1
January,2005,2.28,,0.06,1
February,2005,2.5,,0.1,1
March,2005,2.63,,0.05,1
April,2005,2.79,,0.06,1
May,2005,3,,0.08,1
June,2005,3.04,,0.01,1
July,2005,3.26,,0.07,1
August,2005,3.5,,0.07,1
September,2005,3.62,,0.03,1
October,2005,3.78,,0.04,1
November,2005,4,,0.06,1
December,2005,4.16,,0.04,1
January,2006,4.29,,0.03,1
February,2006,4.49,,0.05,1
March,2006,4.59,,0.02,1
April,2006,4.79,,0.04,1
May,2006,4.94,,0.03,1
June,2006,4.99,,0.01,1
July,2006,5.24,,0.05,1
August,2006,5.25,,0,1
September,2006,5.25,,0,0
October,2006,5.25,,0,0
November,2006,5.25,,0,0
December,2006,5.24,,0,-1
January,2007,5.25,,0,1
February,2007,5.26,,0,1
March,2007,5.26,,0,0
April,2007,5.25,,0,-1
May,2007,5.25,,0,0
June,2007,5.25,,0,0
July,2007,5.26,,0,1
August,2007,5.02,,-0.05,-1
September,2007,4.94,,-0.02,-1
October,2007,4.76,,-0.04,-1
November,2007,4.49,,-0.06,-1
December,2007,4.24,,-0.06,-1
January,2008,3.94,,-0.07,-1
February,2008,2.98,,-0.24,-1
March,2008,2.61,,-0.12,-1
April,2008,2.28,,-0.13,-1
May,2008,1.98,,-0.13,-1
June,2008,2,,0.01,1
July,2008,2.01,,0,1
August,2008,2,,0,-1
September,2008,1.81,,-0.1,-1
October,2008,0.97,,-0.46,-1
November,2008,0.39,,-0.6,-1
December,2008,0.16,,-0.59,-1
January,2009,0.15,0.61,-0.06,-1
February,2009,0.22,0.88,0.43,1
March,2009,0.18,0.75,-0.14,-1
April,2009,0.15,0.43,-0.43,-1
May,2009,0.18,0.21,-0.52,-1
June,2009,0.21,0.02,-0.9,-1
July,2009,0.16,-0.12,-6.45,-1
August,2009,0.16,-0.28,1.41,1
September,2009,0.15,-0.41,0.44,1
October,2009,0.12,-0.47,0.17,1
November,2009,0.12,-0.61,0.29,1
December,2009,0.12,-0.15,-0.75,-1
January,2010,0.11,-0.45,1.91,1
February,2010,0.13,-0.54,0.22,1
March,2010,0.16,-0.48,-0.13,-1
April,2010,0.2,-0.47,-0.02,-1
May,2010,0.2,-0.48,0.04,1
June,2010,0.18,-0.54,0.12,1
July,2010,0.18,-0.59,0.09,1
August,2010,0.19,-0.7,0.18,1
September,2010,0.19,-0.8,0.14,1
October,2010,0.19,-1,0.25,1
November,2010,0.19,-0.96,-0.04,-1
December,2010,0.18,-0.88,-0.07,-1
January,2011,0.17,-1.01,0.14,1
February,2011,0.16,-1.09,0.08,1
March,2011,0.14,-0.99,-0.09,-1
April,2011,0.1,-1.07,0.08,1
May,2011,0.09,-1.14,0.07,1
June,2011,0.09,-1.12,-0.02,-1
July,2011,0.07,-1.19,0.06,1
August,2011,0.1,-1.38,0.16,1
September,2011,0.08,-1.4,0.02,1
October,2011,0.07,-1.44,0.02,1
November,2011,0.08,-1.48,0.03,1
December,2011,0.07,-1.47,-0.01,-1
January,2012,0.08,-1.54,0.05,1
February,2012,0.1,-1.45,-0.06,-1
March,2012,0.13,-1.27,-0.13,-1
April,2012,0.14,-1.26,0,-1
May,2012,0.16,-1.24,-0.02,-1
June,2012,0.16,-1.11,-0.1,-1
July,2012,0.16,-1.18,0.06,1
August,2012,0.13,-1.26,0.07,1
September,2012,0.14,-1.36,0.08,1
October,2012,0.16,-1.34,-0.02,-1
November,2012,0.16,-1.42,0.06,1
December,2012,0.16,-1.43,0,1
January,2013,0.14,-1.36,-0.05,-1
February,2013,0.15,-1.42,0.05,1
March,2013,0.14,-1.44,0.01,1
April,2013,0.15,-1.52,0.06,1
May,2013,0.11,-1.27,-0.17,-1
June,2013,0.09,-0.97,-0.24,-1
July,2013,0.09,-1.52,0.57,1
August,2013,0.08,-1.67,0.09,1
September,2013,0.08,-1.8,0.08,1
October,2013,0.09,-1.85,0.03,1
November,2013,0.08,-2,0.08,1
December,2013,0.09,-2.13,0.07,1
January,2014,0.07,-2.38,0.11,1
February,2014,0.07,-2.54,0.07,1
March,2014,0.08,-2.62,0.03,1
April,2014,0.09,-2.89,0.1,1
May,2014,0.09,-2.99,0.03,1
June,2014,0.1,-2.89,-0.03,-1
July,2014,0.09,-2.84,-0.02,-1
August,2014,0.09,-2.89,0.02,1
September,2014,0.09,-2.81,-0.03,-1
October,2014,0.09,-2.8,0,-1
November,2014,0.09,-2.77,-0.01,-1
December,2014,0.12,-2.42,-0.13,-1
January,2015,0.11,-2.27,-0.06,-1
February,2015,0.11,-1.97,-0.13,-1
March,2015,0.11,-1.81,-0.08,-1
April,2015,0.12,-1.59,-0.12,-1
May,2015,0.12,-1.43,-0.1,-1
June,2015,0.13,-1.39,-0.03,-1
July,2015,0.13,-1.28,-0.08,-1
August,2015,0.14,-0.92,-0.28,-1
September,2015,0.14,-0.74,-0.19,-1
October,2015,0.12,-0.53,-0.28,-1
November,2015,0.12,-0.004,-0.99,-1
December,2015,0.24,,1,1
January,2016,0.34,,0.42,1
February,2016,0.38,,0.12,1
March,2016,0.36,,-0.05,-1
April,2016,0.37,,0.03,1
May,2016,0.37,,0,0
June,2016,0.38,,0.03,1
July,2016,0.39,,0.03,1
August,2016,0.4,,0.03,1
September,2016,0.4,,0,0
October,2016,0.4,,0,0
November,2016,0.41,,0.02,1
December,2016,0.54,,0.32,1
January,2017,0.65,,0.2,1
February,2017,0.66,,0.02,1
March,2017,0.79,,0.2,1
April,2017,0.9,,0.14,1
May,2017,0.91,,0.01,1
June,2017,1.04,,0.14,1
July,2017,1.15,,0.11,1
August,2017,1.16,,0.01,1
September,2017,1.15,,-0.01,-1
October,2017,1.15,,0,0
November,2017,1.16,,0.01,1
December,2017,1.3,,0.12,1
January,2018,1.41,,0.08,1
,,,,,
,,,,,